date,name,company_or_handle,channel,why_warm,status,reply,notes
2026-09-07,,Steadfast Collective,email,UK Platinum Partner — membership/SaaS platforms,sent,,Resend id 876b070d-fd2f-4cbf-9e61-3e7b45448588 from hello@updates.electrik.dev; copy b823e748 to hello@neerajkumar.name
2026-09-07,,Redberry,email,Builds Laravel SaaS for clients; Studio/Agency angle,sent,,Resend id 9851ada6-644c-438d-9ee5-60206cf64f72 to hello@redberry.ge
2026-09-07,,Jump24,web_form,UK Laravel Partner — client apps; Studio fit,sent,,Human submitted contact form 2026-09-07 (reCAPTCHA)
2026-09-08,,Tighten,email,Premier Partner — consulting; may refer not buy,sent,,Resend id 2b4bdb8e-6173-433e-9896-0938145a72ae soft note to hello@tighten.co
2026-09-08,,Kirschbaum,email,Laravel Premier Partner — client apps / consulting,sent,,Resend id 4303626f-8fca-4b97-a955-424313ff85d2 to hi@kirschbaumdevelopment.com
2026-09-08,,Acquaint Softtech,email,Official Partner — Laravel SaaS builds,sent,,Resend id 07d5c5e3-4bd8-4d48-a3e7-f220326a172e to sales@acquaintsoft.com
2026-09-08,,byte5,email,DE Laravel agency — contact page,sent,,Resend id 1d824695-fab9-4cdc-99ef-553c1b760652 to info@byte5.de
2026-09-07,,GitHub engagers,github,Recent forks + install issue,noted,,"issue #37 already answered 2026-08-24 (5.x/L12); forks stale — skip cold GH DMs"
2026-09-10,,Vehikl,email,Laravel Partner — Canada; client apps,sent,,Resend id ae88d950-d651-4bc3-8225-ad55abd75010 to go@vehikl.com
2026-09-10,,64 Robots,email,Laravel agency — client SaaS,sent,,Resend id 20c6a9c7-b25b-4fba-8c48-c770aafe08bc to hello@64robots.com
2026-09-10,,Curotec,email,Laravel / PHP agency — product builds,sent,,Resend id a561380f-17e1-4ea7-9b23-0ccf3d25eeac to hello@curotec.com
2026-09-10,,Geeks Ltd,email,UK Laravel agency,sent,,Resend id 7a9f2c95-e0f9-4a64-a0cf-25131695bd28 to hello@geeks.ltd.uk
2026-09-12,,Threadable,email,Laravel Premier Partner — IE; client platforms,sent,,Resend id 42247219-8828-4545-81e5-c0ac5aea14fb to hello@threadable.io
2026-09-12,,Pixel,email,Laravel Premier Partner — AU; custom Laravel systems,sent,,Resend id 1b7fc50b-0135-4232-add4-e1d8371e2dc1 to hello@wearepixel.com.au
2026-09-12,,UCodeSoft,email,Laravel Premier Partner — client SaaS builds,sent,,Resend id c1401126-a5ad-4477-a3ef-b195e9489a95 to admin@ucodesoft.com
2026-09-12,,Web Mavens,email,Official Laravel Partner — Austin; SaaS builds,sent,,Resend id b2dd034d-2457-497d-b64d-653aebc54333 to sales@webmavens.com
2026-09-12,,Friendventure,email,DE Laravel agency — Cologne/Berlin/Hamburg,sent,,Resend id 58813ba0-ba41-48a9-825f-37c6efda19ad to laravel@friendventure.de
2026-09-14,,Bacancy,email,Laravel Community Partner — client SaaS / staff aug,sent,,Resend id 84226dbb-6de1-489f-9936-36fc56d3bdba to solutions@bacancy.com
2026-09-14,,Spiral Scout,email,SF Laravel shop — custom platforms,sent,,Resend id 071ef52c-89f3-4bda-9b7e-30a7b101e9b1 to team@spiralscout.com
2026-09-14,,Goedemiddag,email,NL first Laravel Community Partner — client apps,sent,,Resend id 8f2848ed-49e8-422b-93d7-240de2fd048b to info@goedemiddag.nl
2026-09-14,,Fruitcake,email,NL Laravel agency — OSS + client builds,sent,,Resend id 0148a568-9343-4083-b8aa-eaa814bbb382 to info@fruitcake.nl
2026-09-14,,Sourcetoad,email,Laravel Community Partner — NA product builds,sent,,Resend id 9c16917e-a3b8-4c14-9d71-0312e44cbf4a to info@sourcetoad.com
2026-09-14,,Agiledrop,email,Laravel Community Partner — EU staff aug / Laravel,sent,,Resend id e6ceacc0-5f57-43a6-a4d7-7aaefef99410 to hello@agiledrop.com
2026-09-14,,Cubet,email,Laravel Partner — SaaS / product builds,sent,,Resend id b9fa8d64-9e82-4695-9d3a-cc8ee6bd254c to sales@cubettech.com
2026-09-14,,Coddin,email,NL Laravel Community Partner,sent,,Resend id cc85b2aa-8481-43f6-b111-7c341d3a4805 to info@coddin.nl
2026-09-14,,WebReinvent,email,Laravel Partner Asia — SaaS / product eng,sent,,Resend id c8f2d1b9-fa57-4796-b5e0-37d6f32f184b to we@webreinvent.com
2026-09-14,,Square1,email,Laravel Community Partner — IE/UK client apps,sent,,Resend id 2b6cb59b-1cb1-4e21-8f6d-f0d9786e6002 to hello@square1.ie
2026-09-14,,Agiledrop,email,duplicate same-day to info@ (already hello@),sent,,Resend id a54711d9-4cf6-4694-9241-2c23dd41f6f7 to info@agiledrop.com — accidental duplicate, do not repeat
2026-09-15,,DevSquad,email,Laravel product consultancy — client SaaS; Launch angle,sent,,Resend id 73b0b258-d695-4639-b94a-de7b0651b7cd to info@devsquad.com; Launch $6900 pitch
2026-09-15,,BinarCode,email,Laravel shop — SaaS platforms; Launch angle,sent,,Resend id bceb0417-f55a-43ff-b081-e98b685cf305 to hello@binarcode.com; Launch $6900 pitch
2026-09-15,,Codevate,email,UK Laravel agency — client products; Launch angle,sent,,Resend id 0e12aa7d-3b1e-4909-be3d-47a30e82b04c to hello@codevate.com; Launch $6900 pitch
